"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 12 17:25:00 UTC 2026","Sun Apr 12 17:25:00 UTC 2026","453","tests","test_page_login","TestsLogin","","","Успешный логин","Стандартный пользователь"
"skipped","Sun Apr 12 17:25:01 UTC 2026","Sun Apr 12 17:25:06 UTC 2026","5165","tests","test_page_login","TestsLogin","","","Логин с пустыми полями","Пустые логин и пароль"
"skipped","Sun Apr 12 17:25:00 UTC 2026","Sun Apr 12 17:25:06 UTC 2026","5211","tests","test_page_login","TestsLogin","","","Логин заблокированного пользователя","Пользователь заблокирован"
"passed","Sun Apr 12 17:25:00 UTC 2026","Sun Apr 12 17:25:05 UTC 2026","5278","tests","test_page_login","TestsLogin","","","Логин performance_glitch_user","Медленный пользователь"
"skipped","Sun Apr 12 17:25:00 UTC 2026","Sun Apr 12 17:25:05 UTC 2026","5377","tests","test_page_login","TestsLogin","","","Логин с неверным паролем","Неправильный пароль"
