"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 10 16:07:51 UTC 2026","Sat Jan 10 16:07:53 UTC 2026","2046","tests","test_burger_menu","","","","Получение информации о сайте (пункт 'About' в 'Бургер меню')",""
"passed","Sat Jan 10 16:07:40 UTC 2026","Sat Jan 10 16:07:40 UTC 2026","154","tests","test_page_login","TestsLogin","","","Логин с неверным паролем","Неправильный пароль"
"passed","Sat Jan 10 16:07:40 UTC 2026","Sat Jan 10 16:07:40 UTC 2026","230","tests","test_page_login","TestsLogin","","","Успешный логин","Стандартный пользователь"
"passed","Sat Jan 10 16:07:49 UTC 2026","Sat Jan 10 16:07:50 UTC 2026","1217","tests","test_burger_menu","","","","Получение списков 'Названия' и 'Локаторы' кнопок в 'Бургер меню'",""
"passed","Sat Jan 10 16:07:41 UTC 2026","Sat Jan 10 16:07:41 UTC 2026","119","tests","test_page_login","TestsLogin","","","Логин с пустыми полями","Пустые логин и пароль"
"passed","Sat Jan 10 16:07:41 UTC 2026","Sat Jan 10 16:07:41 UTC 2026","159","tests","test_page_login","TestsLogin","","","Логин заблокированного пользователя","Пользователь заблокирован"
"passed","Sat Jan 10 16:07:44 UTC 2026","Sat Jan 10 16:07:49 UTC 2026","5185","tests","test_page_login","TestsLogin","","","Логин performance_glitch_user","Медленный пользователь"
