"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 11 09:08:51 UTC 2026","Sun Jan 11 09:08:55 UTC 2026","3773","tests","test_page_login","TestsLogin","","","Логин с неверным паролем","Неправильный пароль"
"passed","Sun Jan 11 09:09:06 UTC 2026","Sun Jan 11 09:09:07 UTC 2026","1634","tests","test_burger_menu","","","","Получение списков 'Названия' и 'Локаторы' кнопок в 'Бургер меню'","Получение списков 'Названия' и 'Локаторы' кнопок в 'Бургер меню'"
"passed","Sun Jan 11 09:08:55 UTC 2026","Sun Jan 11 09:08:59 UTC 2026","3691","tests","test_page_login","TestsLogin","","","Логин заблокированного пользователя","Пользователь заблокирован"
"passed","Sun Jan 11 09:09:08 UTC 2026","Sun Jan 11 09:09:19 UTC 2026","11541","tests","test_burger_menu","","","","Получение информации о сайте (пункт 'About' в 'Бургер меню')","Получение информации о сайте (пункт 'About' в 'Бургер меню')"
"passed","Sun Jan 11 09:09:00 UTC 2026","Sun Jan 11 09:09:06 UTC 2026","5705","tests","test_page_login","TestsLogin","","","Логин performance_glitch_user","Медленный пользователь"
"passed","Sun Jan 11 09:08:59 UTC 2026","Sun Jan 11 09:09:00 UTC 2026","664","tests","test_page_login","TestsLogin","","","Логин с пустыми полями","Пустые логин и пароль"
"passed","Sun Jan 11 09:08:50 UTC 2026","Sun Jan 11 09:08:51 UTC 2026","869","tests","test_page_login","TestsLogin","","","Успешный логин","Стандартный пользователь"
