"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 06 16:40:34 UTC 2026","Tue Jan 06 16:40:34 UTC 2026","112","tests","test_page_login","TestsLogin","","","Логин заблокированного пользователя","Пользователь заблокирован"
"passed","Tue Jan 06 16:40:33 UTC 2026","Tue Jan 06 16:40:33 UTC 2026","120","tests","test_page_login","TestsLogin","","","Логин с неверным паролем","Неправильный пароль"
"passed","Tue Jan 06 16:40:35 UTC 2026","Tue Jan 06 16:40:40 UTC 2026","5171","tests","test_page_login","TestsLogin","","","Логин performance_glitch_user","Медленный пользователь"
"passed","Tue Jan 06 16:40:33 UTC 2026","Tue Jan 06 16:40:33 UTC 2026","205","tests","test_page_login","TestsLogin","","","Успешный логин","Стандартный пользователь"
"passed","Tue Jan 06 16:40:34 UTC 2026","Tue Jan 06 16:40:34 UTC 2026","115","tests","test_page_login","TestsLogin","","","Логин с пустыми полями","Пустые логин и пароль"
