"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 12 15:40:45 UTC 2026","Mon Jan 12 15:40:46 UTC 2026","1644","tests","test_burger_menu","","","","Получение списков 'Названия' и 'Локаторы' кнопок в 'Бургер меню'","Получение списков 'Названия' и 'Локаторы' кнопок в 'Бургер меню'"
"passed","Mon Jan 12 15:40:29 UTC 2026","Mon Jan 12 15:40:29 UTC 2026","879","tests","test_page_login","TestsLogin","","","Успешный логин","Стандартный пользователь"
"passed","Mon Jan 12 15:40:34 UTC 2026","Mon Jan 12 15:40:38 UTC 2026","3702","tests","test_page_login","TestsLogin","","","Логин заблокированного пользователя","Пользователь заблокирован"
"passed","Mon Jan 12 15:40:38 UTC 2026","Mon Jan 12 15:40:38 UTC 2026","667","tests","test_page_login","TestsLogin","","","Логин с пустыми полями","Пустые логин и пароль"
"passed","Mon Jan 12 15:40:39 UTC 2026","Mon Jan 12 15:40:44 UTC 2026","5671","tests","test_page_login","TestsLogin","","","Логин performance_glitch_user","Медленный пользователь"
"broken","Mon Jan 12 15:40:47 UTC 2026","Mon Jan 12 15:41:18 UTC 2026","31167","tests","test_burger_menu","","","","Получение информации о сайте (пункт 'About' в 'Бургер меню')","Получение информации о сайте (пункт 'About' в 'Бургер меню')"
"passed","Mon Jan 12 15:40:30 UTC 2026","Mon Jan 12 15:40:34 UTC 2026","3859","tests","test_page_login","TestsLogin","","","Логин с неверным паролем","Неправильный пароль"
