"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 08 04:19:30 UTC 2026","Thu Jan 08 04:19:30 UTC 2026","130","tests","test_page_login","TestsLogin","","","Успешный логин","Стандартный пользователь"
"passed","Thu Jan 08 04:19:31 UTC 2026","Thu Jan 08 04:19:31 UTC 2026","109","tests","test_page_login","TestsLogin","","","Логин заблокированного пользователя","Пользователь заблокирован"
"passed","Thu Jan 08 04:19:32 UTC 2026","Thu Jan 08 04:19:37 UTC 2026","5175","tests","test_page_login","TestsLogin","","","Логин performance_glitch_user","Медленный пользователь"
"passed","Thu Jan 08 04:19:31 UTC 2026","Thu Jan 08 04:19:31 UTC 2026","116","tests","test_page_login","TestsLogin","","","Логин с неверным паролем","Неправильный пароль"
"passed","Thu Jan 08 04:19:32 UTC 2026","Thu Jan 08 04:19:32 UTC 2026","117","tests","test_page_login","TestsLogin","","","Логин с пустыми полями","Пустые логин и пароль"
