"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Mar 07 17:57:48 UTC 2026","Sat Mar 07 17:57:53 UTC 2026","5156","tests","test_page_login","TestsLogin","","","Логин с пустыми полями","Пустые логин и пароль"
"passed","Sat Mar 07 17:57:47 UTC 2026","Sat Mar 07 17:57:47 UTC 2026","474","tests","test_page_login","TestsLogin","","","Успешный логин","Стандартный пользователь"
"skipped","Sat Mar 07 17:57:47 UTC 2026","Sat Mar 07 17:57:52 UTC 2026","5417","tests","test_page_login","TestsLogin","","","Логин с неверным паролем","Неправильный пароль"
"skipped","Sat Mar 07 17:57:47 UTC 2026","Sat Mar 07 17:57:52 UTC 2026","5393","tests","test_page_login","TestsLogin","","","Логин заблокированного пользователя","Пользователь заблокирован"
"passed","Sat Mar 07 17:57:47 UTC 2026","Sat Mar 07 17:57:52 UTC 2026","5360","tests","test_page_login","TestsLogin","","","Логин performance_glitch_user","Медленный пользователь"
