"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jan 18 11:49:25 UTC 2026","Sun Jan 18 11:49:30 UTC 2026","5151","tests","test_page_login","TestsLogin","","","Логин с неверным паролем","Неправильный пароль"
"passed","Sun Jan 18 11:49:19 UTC 2026","Sun Jan 18 11:49:19 UTC 2026","198","tests","test_page_login","TestsLogin","","","Успешный логин","Стандартный пользователь"
"skipped","Sun Jan 18 11:49:30 UTC 2026","Sun Jan 18 11:49:35 UTC 2026","5125","tests","test_page_login","TestsLogin","","","Логин заблокированного пользователя","Пользователь заблокирован"
"skipped","Sun Jan 18 11:49:36 UTC 2026","Sun Jan 18 11:49:41 UTC 2026","5131","tests","test_page_login","TestsLogin","","","Логин с пустыми полями","Пустые логин и пароль"
"passed","Sun Jan 18 11:49:19 UTC 2026","Sun Jan 18 11:49:25 UTC 2026","5175","tests","test_page_login","TestsLogin","","","Логин performance_glitch_user","Медленный пользователь"
