"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 10 14:47:45 UTC 2026","Sat Jan 10 14:47:46 UTC 2026","130","tests","test_page_login","TestsLogin","","","Логин с неверным паролем","Неправильный пароль"
"passed","Sat Jan 10 14:47:46 UTC 2026","Sat Jan 10 14:47:46 UTC 2026","122","tests","test_page_login","TestsLogin","","","Логин с пустыми полями","Пустые логин и пароль"
"passed","Sat Jan 10 14:47:47 UTC 2026","Sat Jan 10 14:47:52 UTC 2026","5177","tests","test_page_login","TestsLogin","","","Логин performance_glitch_user","Медленный пользователь"
"passed","Sat Jan 10 14:47:52 UTC 2026","Sat Jan 10 14:47:53 UTC 2026","1203","tests","test_burger_menu","","","","Получение списков 'Названия' и 'Локаторы' кнопок в 'Бургер меню'",""
"passed","Sat Jan 10 14:47:46 UTC 2026","Sat Jan 10 14:47:46 UTC 2026","124","tests","test_page_login","TestsLogin","","","Логин заблокированного пользователя","Пользователь заблокирован"
"passed","Sat Jan 10 14:47:45 UTC 2026","Sat Jan 10 14:47:45 UTC 2026","190","tests","test_page_login","TestsLogin","","","Успешный логин","Стандартный пользователь"
